epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
74,3781.84,0.56779,0.85948,0.32981,0.86074,0,0.99007,0.98353,0.99161,0.80306,0.98858,0.98212,0.98932,0.76699,0.69223,1.09675,0.33492,0.94415,0,0.00057572,0.00057572,0.00057572
75,3808.69,0.56517,0.85559,0.32573,0.85924,0,0.9847,0.98834,0.99385,0.81051,0.98665,0.98383,0.99161,0.75913,0.67064,1.08861,0.33481,0.9338,0,0.000568388,0.000568388,0.000568388
76,3860.63,0.54741,0.86283,0.31635,0.86097,0,0.98156,0.99021,0.99432,0.81225,0.98009,0.98874,0.99202,0.75503,0.66666,1.07419,0.3278,0.9278,0,0.000561055,0.000561055,0.000561055
77,3898.91,0.55511,0.84149,0.31684,0.85728,0,0.98631,0.98832,0.99198,0.80612,0.98577,0.9875,0.99193,0.75973,0.67267,1.07883,0.32755,0.93457,0,0.000553722,0.000553722,0.000553722
78,3930.1,0.54561,0.85508,0.31305,0.85635,0,0.9932,0.98736,0.99466,0.81381,0.99169,0.98597,0.99243,0.76042,0.67067,1.08228,0.31861,0.93787,0,0.00054639,0.00054639,0.00054639
79,3958.39,0.54552,0.85362,0.3116,0.8599,0,0.98186,0.98353,0.98972,0.80461,0.98102,0.98296,0.98971,0.76118,0.67845,1.0879,0.32336,0.94115,0,0.000539057,0.000539057,0.000539057
80,3986.95,0.55752,0.8611,0.3193,0.85857,0,0.98943,0.98437,0.99246,0.81138,0.98943,0.98437,0.99048,0.75768,0.67631,1.07332,0.32665,0.93753,0,0.000531725,0.000531725,0.000531725
81,4054.51,0.539,0.83268,0.31341,0.85029,0,0.99057,0.98542,0.99247,0.81784,0.99126,0.9861,0.9922,0.76399,0.66066,1.07526,0.32011,0.93424,0,0.000524392,0.000524392,0.000524392
82,4082.44,0.53805,0.83752,0.30974,0.85548,0,0.99349,0.98066,0.99212,0.81023,0.99349,0.98066,0.99199,0.75562,0.66738,1.07761,0.32355,0.93976,0,0.000517059,0.000517059,0.000517059
83,4112.03,0.53682,0.83659,0.31199,0.85343,0,0.99214,0.97767,0.99433,0.81555,0.99067,0.9762,0.99042,0.76236,0.65939,1.06866,0.3228,0.93183,0,0.000509727,0.000509727,0.000509727
84,4143.97,0.53587,0.84021,0.30557,0.85381,0,0.98601,0.98586,0.99221,0.81328,0.98308,0.98586,0.99025,0.76254,0.65615,1.05368,0.32549,0.92701,0,0.000502394,0.000502394,0.000502394
85,4173.54,0.53667,0.83545,0.30992,0.8539,0,0.98311,0.98045,0.99103,0.81373,0.98446,0.97726,0.98908,0.76439,0.66434,1.07591,0.32678,0.92878,0,0.000495062,0.000495062,0.000495062
86,4241.98,0.53506,0.83315,0.30931,0.85391,0,0.98892,0.98025,0.99053,0.8091,0.98791,0.97865,0.98855,0.75319,0.66657,1.08382,0.32352,0.93438,0,0.000487729,0.000487729,0.000487729
87,4267.66,0.54186,0.85534,0.31033,0.85628,0,0.98614,0.98444,0.99323,0.80995,0.98423,0.98133,0.98926,0.75678,0.67063,1.08353,0.32259,0.93773,0,0.000480396,0.000480396,0.000480396
